,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
54,0.02,9,177.22222222222223,0.176,22.5455963750137,global
55,0.02,9,177.22222222222223,0.1786,22.5455963750137,parallel
56,0.02,9,201.11111111111111,0.1858,25.912490291986614,global
57,0.02,9,201.11111111111111,0.1906,25.912490291986614,parallel
58,0.02,9,225.0,0.2066,29.985112750029657,global
59,0.02,9,225.0,0.2116,29.985112750029657,parallel
60,0.02,11,10.0,0.0107,0.5152429580339231,global
61,0.02,11,10.0,0.0107,0.5152429580339231,parallel
62,0.02,11,33.888888888888886,0.0233,4.526797166967299,global
63,0.02,11,33.888888888888886,0.0234,4.526797166967299,parallel
64,0.02,11,57.77777777777778,0.0368,9.356311083014589,global
65,0.02,11,57.77777777777778,0.0374,9.356311083014589,parallel
66,0.02,11,81.66666666666667,0.0524,13.930144042009488,global
67,0.02,11,81.66666666666667,0.0533,13.930144042009488,parallel
68,0.02,11,105.55555555555556,0.0594,18.398788332997356,global
69,0.02,11,105.55555555555556,0.06,18.398788332997356,parallel
70,0.02,11,129.44444444444446,0.0771,23.24261537496932,global
71,0.02,11,129.44444444444446,0.0789,23.24261537496932,parallel
72,0.02,11,153.33333333333334,0.0866,28.343046833004337,global
73,0.02,11,153.33333333333334,0.0891,28.343046833004337,parallel
74,0.02,11,177.22222222222223,0.1037,32.31503341702046,global
75,0.02,11,177.22222222222223,0.1059,32.31503341702046,parallel
76,0.02,11,201.11111111111111,0.114,37.53659241599962,global
77,0.02,11,201.11111111111111,0.1171,37.53659241599962,parallel
78,0.02,11,225.0,0.1281,42.194510374974925,global
79,0.02,11,225.0,0.1309,42.194510374974925,parallel
80,0.02,13,10.0,0.0068,0.7441582499886863,global
81,0.02,13,10.0,0.0068,0.7441582499886863,parallel
82,0.02,13,33.888888888888886,0.0154,2.805584624991752,global
83,0.02,13,33.888888888888886,0.0154,2.805584624991752,parallel
84,0.02,13,57.77777777777778,0.0191,9.784028833033517,global
85,0.02,13,57.77777777777778,0.0197,9.784028833033517,parallel
86,0.02,13,81.66666666666667,0.0259,16.964098332973663,global
87,0.02,13,81.66666666666667,0.0259,16.964098332973663,parallel
88,0.02,13,105.55555555555556,0.0346,24.057056791032664,global
89,0.02,13,105.55555555555556,0.0354,24.057056791032664,parallel
90,0.02,13,129.44444444444446,0.0435,31.500543000001926,global
91,0.02,13,129.44444444444446,0.0454,31.500543000001926,parallel
92,0.02,13,153.33333333333334,0.0546,38.51459929201519,global
93,0.02,13,153.33333333333334,0.0553,38.51459929201519,parallel
94,0.02,13,177.22222222222223,0.0563,45.741180791985244,global
95,0.02,13,177.22222222222223,0.0578,45.741180791985244,parallel
