,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
0,0.02,5,10.0,0.058,0.014326541044283658,global
1,0.02,5,10.0,0.058,0.014326541044283658,parallel
2,0.02,5,33.888888888888886,0.151,0.09525520796887577,global
3,0.02,5,33.888888888888886,0.151,0.09525520796887577,parallel
4,0.02,5,57.77777777777778,0.212,0.23329158400883898,global
5,0.02,5,57.77777777777778,0.211,0.23329158400883898,parallel
6,0.02,5,81.66666666666667,0.256,0.341386083047837,global
7,0.02,5,81.66666666666667,0.26,0.341386083047837,parallel
8,0.02,5,105.55555555555556,0.302,0.5079021250130609,global
9,0.02,5,105.55555555555556,0.305,0.5079021250130609,parallel
10,0.02,5,129.44444444444446,0.324,0.730312833969947,global
11,0.02,5,129.44444444444446,0.323,0.730312833969947,parallel
12,0.02,5,153.33333333333334,0.398,0.8279199579847045,global
13,0.02,5,153.33333333333334,0.403,0.8279199579847045,parallel
14,0.02,5,177.22222222222223,0.395,0.9294743750360794,global
15,0.02,5,177.22222222222223,0.397,0.9294743750360794,parallel
16,0.02,5,201.11111111111111,0.433,1.1138424589880742,global
17,0.02,5,201.11111111111111,0.428,1.1138424589880742,parallel
18,0.02,5,225.0,0.488,1.1732877080212347,global
19,0.02,5,225.0,0.488,1.1732877080212347,parallel
20,0.02,7,10.0,0.027,0.019019750005099922,global
21,0.02,7,10.0,0.027,0.019019750005099922,parallel
22,0.02,7,33.888888888888886,0.083,0.13243508304003626,global
23,0.02,7,33.888888888888886,0.083,0.13243508304003626,parallel
24,0.02,7,57.77777777777778,0.137,0.3621919169672765,global
25,0.02,7,57.77777777777778,0.138,0.3621919169672765,parallel
26,0.02,7,81.66666666666667,0.159,0.6064190419856459,global
27,0.02,7,81.66666666666667,0.161,0.6064190419856459,parallel
28,0.02,7,105.55555555555556,0.179,0.8564638750394806,global
29,0.02,7,105.55555555555556,0.181,0.8564638750394806,parallel
30,0.02,7,129.44444444444446,0.201,0.97756158397533,global
31,0.02,7,129.44444444444446,0.201,0.97756158397533,parallel
32,0.02,7,153.33333333333334,0.256,1.2799758750479668,global
33,0.02,7,153.33333333333334,0.257,1.2799758750479668,parallel
34,0.02,7,177.22222222222223,0.26,1.440504707978107,global
35,0.02,7,177.22222222222223,0.261,1.440504707978107,parallel
36,0.02,7,201.11111111111111,0.323,1.612520584021695,global
37,0.02,7,201.11111111111111,0.322,1.612520584021695,parallel
38,0.02,7,225.0,0.309,1.8196819999720901,global
39,0.02,7,225.0,0.313,1.8196819999720901,parallel
40,0.02,9,10.0,0.017,0.033356792002450675,global
41,0.02,9,10.0,0.017,0.033356792002450675,parallel
42,0.02,9,33.888888888888886,0.056,0.28702133399201557,global
43,0.02,9,33.888888888888886,0.057,0.28702133399201557,parallel
44,0.02,9,57.77777777777778,0.066,0.5232811669702642,global
45,0.02,9,57.77777777777778,0.067,0.5232811669702642,parallel
46,0.02,9,81.66666666666667,0.091,0.9470825000316836,global
47,0.02,9,81.66666666666667,0.092,0.9470825000316836,parallel
48,0.02,9,105.55555555555556,0.117,1.2532715830020607,global
49,0.02,9,105.55555555555556,0.117,1.2532715830020607,parallel
50,0.02,9,129.44444444444446,0.133,1.490187874995172,global
51,0.02,9,129.44444444444446,0.134,1.490187874995172,parallel
52,0.02,9,153.33333333333334,0.151,1.9321540829841979,global
53,0.02,9,153.33333333333334,0.158,1.9321540829841979,parallel
54,0.02,9,177.22222222222223,0.193,2.189583167026285,global
55,0.02,9,177.22222222222223,0.192,2.189583167026285,parallel
56,0.02,9,201.11111111111111,0.175,2.475924833037425,global
57,0.02,9,201.11111111111111,0.175,2.475924833037425,parallel
58,0.02,9,225.0,0.171,2.9087430000072345,global
59,0.02,9,225.0,0.178,2.9087430000072345,parallel
60,0.02,11,10.0,0.008,0.05011366598773748,global
61,0.02,11,10.0,0.008,0.05011366598773748,parallel
62,0.02,11,33.888888888888886,0.016,0.44548449997091666,global
63,0.02,11,33.888888888888886,0.016,0.44548449997091666,parallel
64,0.02,11,57.77777777777778,0.038,0.885069458046928,global
65,0.02,11,57.77777777777778,0.038,0.885069458046928,parallel
66,0.02,11,81.66666666666667,0.053,1.3413472079555504,global
67,0.02,11,81.66666666666667,0.054,1.3413472079555504,parallel
68,0.02,11,105.55555555555556,0.06,1.7443558750092052,global
69,0.02,11,105.55555555555556,0.062,1.7443558750092052,parallel
70,0.02,11,129.44444444444446,0.087,2.2378646659781225,global
71,0.02,11,129.44444444444446,0.09,2.2378646659781225,parallel
72,0.02,11,153.33333333333334,0.091,2.672194084036164,global
73,0.02,11,153.33333333333334,0.091,2.672194084036164,parallel
74,0.02,11,177.22222222222223,0.09,3.1568221249617636,global
75,0.02,11,177.22222222222223,0.093,3.1568221249617636,parallel
76,0.02,11,201.11111111111111,0.084,3.6130587910301983,global
77,0.02,11,201.11111111111111,0.086,3.6130587910301983,parallel
78,0.02,11,225.0,0.134,4.128432500001509,global
79,0.02,11,225.0,0.135,4.128432500001509,parallel
80,0.02,13,10.0,0.004,0.07452195801306516,global
81,0.02,13,10.0,0.004,0.07452195801306516,parallel
82,0.02,13,33.888888888888886,0.013,0.2672490829718299,global
83,0.02,13,33.888888888888886,0.013,0.2672490829718299,parallel
84,0.02,13,57.77777777777778,0.026,0.9700800839927979,global
85,0.02,13,57.77777777777778,0.026,0.9700800839927979,parallel
86,0.02,13,81.66666666666667,0.031,1.6172209170181304,global
87,0.02,13,81.66666666666667,0.031,1.6172209170181304,parallel
88,0.02,13,105.55555555555556,0.031,2.320252540986985,global
89,0.02,13,105.55555555555556,0.031,2.320252540986985,parallel
90,0.02,13,129.44444444444446,0.045,3.0256057079532184,global
91,0.02,13,129.44444444444446,0.046,3.0256057079532184,parallel
92,0.02,13,153.33333333333334,0.06,3.793985624972265,global
93,0.02,13,153.33333333333334,0.063,3.793985624972265,parallel
94,0.02,13,177.22222222222223,0.071,4.5302530829794705,global
95,0.02,13,177.22222222222223,0.073,4.5302530829794705,parallel
96,0.02,13,201.11111111111111,0.063,5.344692791986745,global
97,0.02,13,201.11111111111111,0.066,5.344692791986745,parallel
98,0.02,13,225.0,0.069,6.049860583036207,global
99,0.02,13,225.0,0.072,6.049860583036207,parallel
100,0.02,15,10.0,0.001,0.10249508399283513,global
101,0.02,15,10.0,0.001,0.10249508399283513,parallel
102,0.02,15,33.888888888888886,0.011,0.3688240830088034,global
103,0.02,15,33.888888888888886,0.011,0.3688240830088034,parallel
104,0.02,15,57.77777777777778,0.009,1.3638915420160629,global
105,0.02,15,57.77777777777778,0.009,1.3638915420160629,parallel
106,0.02,15,81.66666666666667,0.018,2.372489624947775,global
107,0.02,15,81.66666666666667,0.018,2.372489624947775,parallel
108,0.02,15,105.55555555555556,0.018,3.3900310000171885,global
109,0.02,15,105.55555555555556,0.018,3.3900310000171885,parallel
110,0.02,15,129.44444444444446,0.018,3.700348583050072,global
111,0.02,15,129.44444444444446,0.019,3.700348583050072,parallel
112,0.02,15,153.33333333333334,0.025,4.76988562499173,global
113,0.02,15,153.33333333333334,0.026,4.76988562499173,parallel
114,0.02,15,177.22222222222223,0.039,5.900629166979343,global
115,0.02,15,177.22222222222223,0.04,5.900629166979343,parallel
116,0.02,15,201.11111111111111,0.039,7.0265236249542795,global
117,0.02,15,201.11111111111111,0.039,7.0265236249542795,parallel
118,0.02,15,225.0,0.034,8.153495917038526,global
119,0.02,15,225.0,0.033,8.153495917038526,parallel
120,0.02,17,10.0,0.003,0.1387978750281036,global
121,0.02,17,10.0,0.003,0.1387978750281036,parallel
122,0.02,17,33.888888888888886,0.004,0.4800876670051366,global
123,0.02,17,33.888888888888886,0.004,0.4800876670051366,parallel
124,0.02,17,57.77777777777778,0.009,1.9222461670287885,global
125,0.02,17,57.77777777777778,0.009,1.9222461670287885,parallel
126,0.02,17,81.66666666666667,0.009,2.3021872920216992,global
127,0.02,17,81.66666666666667,0.009,2.3021872920216992,parallel
128,0.02,17,105.55555555555556,0.01,3.764105791982729,global
129,0.02,17,105.55555555555556,0.011,3.764105791982729,parallel
130,0.02,17,129.44444444444446,0.019,5.249150542018469,global
131,0.02,17,129.44444444444446,0.02,5.249150542018469,parallel
132,0.02,17,153.33333333333334,0.016,6.805657125019934,global
133,0.02,17,153.33333333333334,0.017,6.805657125019934,parallel
134,0.02,17,177.22222222222223,0.019,7.327493167016655,global
135,0.02,17,177.22222222222223,0.019,7.327493167016655,parallel
136,0.02,17,201.11111111111111,0.021,8.972211583983153,global
137,0.02,17,201.11111111111111,0.021,8.972211583983153,parallel
138,0.02,17,225.0,0.02,11.139381291985046,global
139,0.02,17,225.0,0.021,11.139381291985046,parallel
