,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
0,0.02,5,10.0,0.049,0.024708084005396813,global
1,0.02,5,10.0,0.049,0.024708084005396813,parallel
2,0.02,5,33.888888888888886,0.138,0.21961883298354223,global
3,0.02,5,33.888888888888886,0.1375,0.21961883298354223,parallel
4,0.02,5,57.77777777777778,0.217,0.47022179199848324,global
5,0.02,5,57.77777777777778,0.2165,0.47022179199848324,parallel
6,0.02,5,81.66666666666667,0.2745,0.7094015419716015,global
7,0.02,5,81.66666666666667,0.274,0.7094015419716015,parallel
8,0.02,5,105.55555555555556,0.3165,1.054525624960661,global
9,0.02,5,105.55555555555556,0.316,1.054525624960661,parallel
10,0.02,5,129.44444444444446,0.331,1.285611167026218,global
11,0.02,5,129.44444444444446,0.336,1.285611167026218,parallel
12,0.02,5,153.33333333333334,0.376,1.643527832988184,global
13,0.02,5,153.33333333333334,0.383,1.643527832988184,parallel
14,0.02,5,177.22222222222223,0.4065,1.9039458330371417,global
15,0.02,5,177.22222222222223,0.409,1.9039458330371417,parallel
16,0.02,5,201.11111111111111,0.421,2.1549717499874532,global
17,0.02,5,201.11111111111111,0.423,2.1549717499874532,parallel
18,0.02,5,225.0,0.43,2.4124863750184886,global
19,0.02,5,225.0,0.431,2.4124863750184886,parallel
20,0.02,7,10.0,0.028,0.039141250017564744,global
21,0.02,7,10.0,0.028,0.039141250017564744,parallel
22,0.02,7,33.888888888888886,0.0695,0.28035012498730794,global
23,0.02,7,33.888888888888886,0.069,0.28035012498730794,parallel
24,0.02,7,57.77777777777778,0.1175,0.7726767080021091,global
25,0.02,7,57.77777777777778,0.1175,0.7726767080021091,parallel
26,0.02,7,81.66666666666667,0.161,1.2290754580171779,global
27,0.02,7,81.66666666666667,0.162,1.2290754580171779,parallel
28,0.02,7,105.55555555555556,0.188,1.7290762920165434,global
29,0.02,7,105.55555555555556,0.19,1.7290762920165434,parallel
30,0.02,7,129.44444444444446,0.213,2.04689400002826,global
31,0.02,7,129.44444444444446,0.2145,2.04689400002826,parallel
32,0.02,7,153.33333333333334,0.232,2.632282124948688,global
33,0.02,7,153.33333333333334,0.232,2.632282124948688,parallel
34,0.02,7,177.22222222222223,0.2665,3.0248976669972762,global
35,0.02,7,177.22222222222223,0.2695,3.0248976669972762,parallel
36,0.02,7,201.11111111111111,0.3015,3.322009125025943,global
37,0.02,7,201.11111111111111,0.3055,3.322009125025943,parallel
38,0.02,7,225.0,0.323,3.7570236250176094,global
39,0.02,7,225.0,0.329,3.7570236250176094,parallel
40,0.02,9,10.0,0.015,0.06946629198500887,global
41,0.02,9,10.0,0.015,0.06946629198500887,parallel
42,0.02,9,33.888888888888886,0.039,0.5566318749915808,global
43,0.02,9,33.888888888888886,0.039,0.5566318749915808,parallel
44,0.02,9,57.77777777777778,0.068,1.0906491249916144,global
45,0.02,9,57.77777777777778,0.068,1.0906491249916144,parallel
46,0.02,9,81.66666666666667,0.0845,2.0111909590195864,global
47,0.02,9,81.66666666666667,0.0855,2.0111909590195864,parallel
48,0.02,9,105.55555555555556,0.1175,2.5206247919704765,global
49,0.02,9,105.55555555555556,0.1205,2.5206247919704765,parallel
50,0.02,9,129.44444444444446,0.133,3.140338790952228,global
51,0.02,9,129.44444444444446,0.135,3.140338790952228,parallel
52,0.02,9,153.33333333333334,0.164,3.945920208003372,global
53,0.02,9,153.33333333333334,0.164,3.945920208003372,parallel
54,0.02,9,177.22222222222223,0.1585,4.556455041980371,global
55,0.02,9,177.22222222222223,0.163,4.556455041980371,parallel
56,0.02,9,201.11111111111111,0.188,5.077073542051949,global
57,0.02,9,201.11111111111111,0.192,5.077073542051949,parallel
58,0.02,9,225.0,0.216,6.100037417025305,global
59,0.02,9,225.0,0.219,6.100037417025305,parallel
60,0.02,11,10.0,0.013,0.11665774998255074,global
61,0.02,11,10.0,0.013,0.11665774998255074,parallel
62,0.02,11,33.888888888888886,0.019,0.9572095830226317,global
63,0.02,11,33.888888888888886,0.0185,0.9572095830226317,parallel
64,0.02,11,57.77777777777778,0.032,1.9769573750090785,global
65,0.02,11,57.77777777777778,0.0325,1.9769573750090785,parallel
66,0.02,11,81.66666666666667,0.0585,2.871900749974884,global
67,0.02,11,81.66666666666667,0.0595,2.871900749974884,parallel
68,0.02,11,105.55555555555556,0.059,3.608860125008505,global
