,physical_error_rate,lattice_size,rounds,logical_error_rate,time,type
0,0.02,5,10.0,0.061,0.021530666039325297,global
1,0.02,5,10.0,0.061,0.021530666039325297,parallel
2,0.02,5,33.888888888888886,0.1425,0.21734633296728134,global
3,0.02,5,33.888888888888886,0.1415,0.21734633296728134,parallel
4,0.02,5,57.77777777777778,0.2045,0.4652151250047609,global
5,0.02,5,57.77777777777778,0.2035,0.4652151250047609,parallel
6,0.02,5,81.66666666666667,0.2765,0.7024314580485225,global
7,0.02,5,81.66666666666667,0.2765,0.7024314580485225,parallel
8,0.02,5,105.55555555555556,0.313,1.0473639580304734,global
9,0.02,5,105.55555555555556,0.316,1.0473639580304734,parallel
10,0.02,5,129.44444444444446,0.31,1.2949407920241356,global
11,0.02,5,129.44444444444446,0.3115,1.2949407920241356,parallel
12,0.02,5,153.33333333333334,0.37,1.6045246249996126,global
13,0.02,5,153.33333333333334,0.372,1.6045246249996126,parallel
14,0.02,5,177.22222222222223,0.406,1.9123829170130193,global
15,0.02,5,177.22222222222223,0.4025,1.9123829170130193,parallel
16,0.02,5,201.11111111111111,0.4425,2.2867639579926617,global
17,0.02,5,201.11111111111111,0.446,2.2867639579926617,parallel
18,0.02,5,225.0,0.4375,2.4285473749623634,global
19,0.02,5,225.0,0.444,2.4285473749623634,parallel
20,0.02,7,10.0,0.0295,0.0388827919960022,global
21,0.02,7,10.0,0.0295,0.0388827919960022,parallel
22,0.02,7,33.888888888888886,0.074,0.29936333396472037,global
23,0.02,7,33.888888888888886,0.0745,0.29936333396472037,parallel
24,0.02,7,57.77777777777778,0.116,0.7464625840075314,global
25,0.02,7,57.77777777777778,0.117,0.7464625840075314,parallel
26,0.02,7,81.66666666666667,0.168,1.2783752089599147,global
27,0.02,7,81.66666666666667,0.17,1.2783752089599147,parallel
28,0.02,7,105.55555555555556,0.2025,1.8404458749573678,global
29,0.02,7,105.55555555555556,0.208,1.8404458749573678,parallel
30,0.02,7,129.44444444444446,0.2095,2.0678312919917516,global
31,0.02,7,129.44444444444446,0.212,2.0678312919917516,parallel
32,0.02,7,153.33333333333334,0.2355,2.4841233330080286,global
33,0.02,7,153.33333333333334,0.242,2.4841233330080286,parallel
34,0.02,7,177.22222222222223,0.264,2.953150958986953,global
35,0.02,7,177.22222222222223,0.27,2.953150958986953,parallel
36,0.02,7,201.11111111111111,0.2845,3.289851500012446,global
37,0.02,7,201.11111111111111,0.2865,3.289851500012446,parallel
38,0.02,7,225.0,0.322,3.694793207978364,global
39,0.02,7,225.0,0.3215,3.694793207978364,parallel
40,0.02,9,10.0,0.0155,0.06706958299037069,global
41,0.02,9,10.0,0.0155,0.06706958299037069,parallel
42,0.02,9,33.888888888888886,0.0365,0.5538149999920279,global
43,0.02,9,33.888888888888886,0.0365,0.5538149999920279,parallel
44,0.02,9,57.77777777777778,0.071,1.103168583009392,global
45,0.02,9,57.77777777777778,0.072,1.103168583009392,parallel
46,0.02,9,81.66666666666667,0.101,1.9420716249733232,global
47,0.02,9,81.66666666666667,0.104,1.9420716249733232,parallel
48,0.02,9,105.55555555555556,0.112,2.5253717500017956,global
49,0.02,9,105.55555555555556,0.1145,2.5253717500017956,parallel
50,0.02,9,129.44444444444446,0.1305,3.0626294590183534,global
51,0.02,9,129.44444444444446,0.135,3.0626294590183534,parallel
52,0.02,9,153.33333333333334,0.157,3.958341624995228,global
53,0.02,9,153.33333333333334,0.1595,3.958341624995228,parallel
54,0.02,9,177.22222222222223,0.184,4.477727208985016,global
55,0.02,9,177.22222222222223,0.1845,4.477727208985016,parallel
56,0.02,9,201.11111111111111,0.18,5.327938332979102,global
57,0.02,9,201.11111111111111,0.1815,5.327938332979102,parallel
58,0.02,9,225.0,0.21,6.137263957993127,global
59,0.02,9,225.0,0.2145,6.137263957993127,parallel
60,0.02,11,10.0,0.0105,0.10422575002303347,global
61,0.02,11,10.0,0.0105,0.10422575002303347,parallel
62,0.02,11,33.888888888888886,0.0205,0.9257825000095181,global
63,0.02,11,33.888888888888886,0.021,0.9257825000095181,parallel
64,0.02,11,57.77777777777778,0.036,1.945905375003349,global
65,0.02,11,57.77777777777778,0.035,1.945905375003349,parallel
66,0.02,11,81.66666666666667,0.051,2.817604499985464,global
67,0.02,11,81.66666666666667,0.0515,2.817604499985464,parallel
68,0.02,11,105.55555555555556,0.0785,3.7834920000168495,global
69,0.02,11,105.55555555555556,0.081,3.7834920000168495,parallel
70,0.02,11,129.44444444444446,0.072,4.590623166994192,global
71,0.02,11,129.44444444444446,0.0735,4.590623166994192,parallel
72,0.02,11,153.33333333333334,0.08,5.48374233400682,global
73,0.02,11,153.33333333333334,0.082,5.48374233400682,parallel
74,0.02,11,177.22222222222223,0.104,6.406493624963332,global
75,0.02,11,177.22222222222223,0.107,6.406493624963332,parallel
76,0.02,11,201.11111111111111,0.1155,7.570588874979876,global
77,0.02,11,201.11111111111111,0.117,7.570588874979876,parallel
78,0.02,11,225.0,0.129,8.953573416976724,global
79,0.02,11,225.0,0.1305,8.953573416976724,parallel
80,0.02,13,10.0,0.003,0.1521828330005519,global
81,0.02,13,10.0,0.003,0.1521828330005519,parallel
82,0.02,13,33.888888888888886,0.0115,0.5489426249987446,global
83,0.02,13,33.888888888888886,0.0115,0.5489426249987446,parallel
84,0.02,13,57.77777777777778,0.022,1.934049249975942,global
85,0.02,13,57.77777777777778,0.022,1.934049249975942,parallel
86,0.02,13,81.66666666666667,0.0235,3.420031582994852,global
87,0.02,13,81.66666666666667,0.0235,3.420031582994852,parallel
88,0.02,13,105.55555555555556,0.036,4.781798916985281,global
89,0.02,13,105.55555555555556,0.0375,4.781798916985281,parallel
90,0.02,13,129.44444444444446,0.055,6.337266707967501,global
91,0.02,13,129.44444444444446,0.0545,6.337266707967501,parallel
92,0.02,13,153.33333333333334,0.041,8.148807707999367,global
93,0.02,13,153.33333333333334,0.043,8.148807707999367,parallel
